count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
439, 219500, -125.823, 56.710,  1.219, 
439, 219500, -118.665, 63.881,  0.109, 
439, 219500, -114.565, 36.228,  1.185, 

440, 220000, -117.677, 48.371,  0.878, 
440, 220000, -108.101, 41.405,  0.899, 
440, 220000, -107.678, 50.589, -0.018, 
440, 220000, -118.674, 63.910,  0.109, 

441, 220500, -118.131, 48.102,  0.459, 
441, 220500, -108.348, 41.326,  0.698, 

442, 221000, -118.292, 47.764,  0.704, 
442, 221000, -108.470, 41.301,  1.307, 
442, 221000, -107.856, 50.476, -0.323, 
442, 221000, -125.874, 56.879,  0.164, 

443, 221500, -118.532, 47.174,  0.593, 
443, 221500, -107.898, 50.442, -0.328, 

444, 222000, -108.560, 41.228,  0.649, 
444, 222000, -107.903, 50.397, -0.326, 

445, 222500, -108.637, 41.236,  1.133, 
445, 222500, -107.880, 50.447, -0.486, 
445, 222500, -116.523, 45.881,  0.560, 
445, 222500, -119.356, 46.296,  0.603, 

446, 223000, -108.383, 41.358,  0.973, 
446, 223000, -119.618, 45.894,  0.468, 
446, 223000, -125.913, 56.639,  0.149, 
446, 223000, -107.921, 50.372, -0.316, 
446, 223000, -106.247, 46.965, -0.447, 

447, 223500, -108.556, 41.170,  0.810, 
447, 223500, -120.024, 45.324,  0.477, 
447, 223500, -107.946, 50.349, -0.487, 
447, 223500, -106.311, 46.883, -0.229, 
447, 223500, -103.579, 42.289, -0.035, 

448, 224000, -108.892, 40.995,  0.814, 
448, 224000, -108.062, 50.195, -0.162, 
448, 224000, -103.647, 42.272, -0.034, 
448, 224000, -120.973, 38.131,  1.414, 
448, 224000, -120.708, 44.873,  0.486, 

449, 224500, -108.530, 41.193,  0.951, 
449, 224500, -107.937, 50.350, -0.318, 
449, 224500, -103.524, 42.348,  0.222, 
449, 224500, -124.647, 49.298,  0.683, 

450, 225000, -108.287, 41.405,  1.290, 

451, 225500, -108.507, 41.264,  1.125, 

452, 226000, -108.421, 41.266,  0.750, 

453, 226500, -108.882, 40.958,  0.583, 
453, 226500, -116.842, 45.799,  0.100, 
453, 226500, -115.537, 36.069,  0.897, 
453, 226500, -108.082, 34.696,  1.410, 

454, 227000, -116.705, 45.723,  0.197, 
454, 227000, -107.875, 34.742, -0.378, 
454, 227000, -124.841, 53.376,  0.431, 
454, 227000, -108.475, 41.099, -0.028, 

455, 227500, -124.847, 53.474,  0.412, 
455, 227500, -122.824, 53.799,  0.078, 
455, 227500, -122.429, 41.136,  0.514, 

456, 228000, -124.785, 53.318,  0.482, 
456, 228000, -124.491, 48.923,  0.215, 
456, 228000, -116.376, 45.799,  0.251, 
456, 228000, -106.714, 35.360,  1.503, 
456, 228000, -108.282, 41.309,  0.565, 

457, 228500, -124.851, 53.212,  0.397, 
457, 228500, -124.532, 48.989,  0.460, 
457, 228500, -125.326, 51.087,  0.224, 

458, 229000, -124.817, 53.460,  0.303, 
458, 229000, -124.537, 49.036,  0.200, 
458, 229000, -116.491, 45.761,  0.155, 
458, 229000, -108.431, 41.138,  0.381, 

459, 229500, -124.945, 53.166,  0.379, 
459, 229500, -116.609, 45.705,  0.146, 
459, 229500, -108.433, 41.139,  0.554, 
459, 229500, -125.374, 50.922,  0.376, 
459, 229500, -124.172, 39.163,  0.539, 

460, 230000, -124.907, 53.204,  0.374, 
460, 230000, -125.343, 51.017,  0.489, 
460, 230000, -124.025, 38.452,  0.542, 
460, 230000, -108.000, 41.606,  0.538, 
460, 230000, -125.853, 46.535,  0.230, 

461, 230500, -124.965, 53.077,  0.370, 
461, 230500, -125.405, 50.909,  0.361, 
461, 230500, -124.513, 48.717,  0.241, 
461, 230500, -123.069, 53.382,  0.074, 

462, 231000, -125.035, 53.019,  0.292, 
462, 231000, -125.438, 50.752,  0.271, 
462, 231000, -116.403, 45.705,  0.348, 
462, 231000, -124.581, 48.836,  0.230, 

463, 231500, -116.484, 45.633,  0.373, 
463, 231500, -124.621, 48.785,  0.226, 
463, 231500, -125.455, 50.973,  0.342, 
463, 231500, -126.109, 46.777,  0.100, 
463, 231500, -125.084, 52.990,  0.373, 
463, 231500, -123.256, 38.162,  0.479, 

464, 232000, -124.610, 48.772,  0.072, 
464, 232000, -125.536, 50.631,  0.335, 
464, 232000, -126.004, 46.571,  0.095, 
464, 232000, -123.323, 38.117,  0.450, 
464, 232000, -125.157, 52.930,  0.290, 

465, 232500, -124.532, 48.762,  0.199, 
465, 232500, -116.281, 45.838, -0.008, 


467, 233500, -124.570, 48.501,  0.398, 

468, 234000, -124.645, 48.369,  0.125, 
468, 234000, -127.129, 33.775,  0.189, 

469, 234500, -125.613, 45.198, -0.099, 
