count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
36, 18000,  1.272, -4.371, -0.084, 
36, 18000,  3.981,  2.496,  0.367, 
36, 18000,  3.885, -3.116,  0.400, 
36, 18000,  3.181, -3.469,  0.055, 
36, 18000, 10.587,  0.817,  0.275, 
36, 18000,  4.155,  2.413, -0.160, 
36, 18000,  1.872, -4.161,  0.224, 
36, 18000,  4.485, -2.742,  0.354, 
36, 18000,  4.337, -2.870, -0.173, 
36, 18000,  3.783, -3.174, -0.087, 

37, 18500,  1.799, -4.208,  0.175, 
37, 18500,  4.327,  2.146,  0.347, 
37, 18500,  3.838, -3.081,  0.373, 
37, 18500,  3.141, -3.540,  0.114, 
37, 18500,  2.302, -3.921,  0.362, 
37, 18500,  2.746, -3.763, -0.234, 
37, 18500,  1.485, -4.376, -0.168, 
37, 18500,  4.409,  2.307, -0.226, 

38, 19000,  2.446, -3.876,  0.252, 
38, 19000,  3.696, -3.036, -0.007, 
38, 19000,  3.472, -3.384,  0.306, 
38, 19000,  3.146, -3.505,  0.050, 
38, 19000,  1.470, -4.324, -0.083, 
38, 19000,  1.831, -4.300,  0.178, 

39, 19500,  3.537, -3.277,  0.187, 
39, 19500,  4.073, -2.873,  0.279, 
39, 19500,  1.923, -4.255,  0.172, 
39, 19500,  2.507, -3.873,  0.342, 
39, 19500,  6.942,  6.958,  0.608, 
39, 19500,  2.697, -3.789, -0.224, 
39, 19500,  5.153,  2.213, -0.313, 

40, 20000,  3.834, -3.082, -0.129, 
40, 20000,  4.300, -2.783,  0.179, 
40, 20000,  2.660, -3.818,  0.268, 
40, 20000,  3.526, -3.134,  0.091, 
40, 20000,  5.705,  1.859,  0.205, 
40, 20000, 15.131, 12.069,  1.078, 
40, 20000,  5.715,  1.899, -0.228, 
40, 20000, 10.415,  1.281,  0.434, 

41, 20500,  4.521, -2.693,  0.159, 
41, 20500,  2.754, -3.754,  0.232, 
41, 20500,  4.166, -2.863,  0.130, 
41, 20500,  6.250,  1.760,  0.163, 
41, 20500, 10.323,  1.573,  0.392, 
41, 20500,  3.862, -3.088, -0.189, 
41, 20500,  3.641, -3.194,  0.090, 
41, 20500,  6.514,  1.495,  0.306, 
41, 20500,  3.025, -3.681, -0.281, 
41, 20500, 14.885, 12.201,  1.327, 
41, 20500, 10.700,  2.416,  0.223, 

42, 21000,  4.613, -2.627,  0.150, 
42, 21000,  4.300, -2.868, -0.231, 
42, 21000,  6.722,  1.646,  0.208, 
42, 21000,  7.034,  1.454,  0.113, 
42, 21000, 10.213,  1.941,  0.374, 
42, 21000,  4.632, -2.581, -0.105, 
42, 21000,  3.155, -3.639, -0.350, 
42, 21000,  6.685,  1.737, -0.307, 

43, 21500,  4.817, -2.540, -0.007, 
43, 21500,  7.421,  1.509,  0.293, 
43, 21500,  7.687,  1.181,  0.321, 
43, 21500,  4.434, -2.722,  0.205, 
43, 21500,  5.966, -2.771,  0.221, 
43, 21500,  4.251, -2.893, -0.154, 
43, 21500,  6.777,  7.186,  0.102, 

44, 22000,  4.760, -2.613, -0.089, 
44, 22000,  8.145,  0.938,  0.262, 
44, 22000,  5.168,  0.112, -0.190, 
44, 22000,  5.296, -2.654, -0.395, 
44, 22000,  4.399, -2.766,  0.102, 
44, 22000, 14.722, 12.101,  1.139, 
44, 22000, 14.898, -5.693,  0.913, 
44, 22000, 22.654,  3.522,  1.632, 

45, 22500,  4.968, -2.560,  0.199, 
45, 22500,  8.823,  0.700,  0.308, 
45, 22500, 14.873, -5.735,  0.990, 
45, 22500,  4.731, -2.584, -0.086, 
45, 22500,  5.873, -2.817,  0.199, 

46, 23000,  5.162, -2.642,  0.090, 
46, 23000,  9.568,  0.415,  0.187, 
46, 23000,  5.882, -2.722,  0.121, 
46, 23000,  5.092, -2.674, -0.383, 
46, 23000,  4.683, -2.583, -0.085, 
46, 23000, 26.241,  1.040,  1.103, 
46, 23000, 10.326,  1.580,  0.147, 
46, 23000,  7.146,  7.025,  0.214, 
46, 23000,  9.727,  0.951,  0.254, 
46, 23000, 26.962, -1.532,  1.550, 

47, 23500,  5.716, -2.848,  0.182, 
47, 23500, 10.277,  0.539,  0.062, 
47, 23500,  6.115, -3.015,  0.196, 
47, 23500,  5.407, -2.856, -0.291, 
47, 23500,  5.082, -2.686,  0.092, 
47, 23500, 10.385,  1.520,  0.063, 
47, 23500,  5.702, -2.957, -0.242, 
47, 23500,  5.030, -2.768, -0.458, 
47, 23500,  5.955, -2.983, -0.144, 
47, 23500, 14.867, -5.803,  0.914, 
47, 23500, 13.856,  5.797,  0.647, 
47, 23500, 14.779, 12.275,  1.370, 

48, 24000,  6.204, -2.987,  0.068, 
48, 24000, 11.056,  0.508,  0.270, 
48, 24000,  6.807, -3.001,  0.132, 
48, 24000,  6.220, -2.999, -0.188, 
48, 24000,  5.741, -2.847,  0.164, 
48, 24000, 10.334,  1.534,  0.128, 
48, 24000, 13.757,  5.726,  0.862, 
48, 24000, 14.911, 12.085,  1.344, 
48, 24000, 26.109,  1.223,  1.246, 
48, 24000, 37.694, -8.680, -1.227, 
48, 24000, 11.056,  0.621, -0.100, 
48, 24000,  6.726, -3.047, -0.142, 

49, 24500,  6.879, -2.990, -0.134, 
49, 24500, 11.686,  0.891,  0.336, 
49, 24500,  6.489, -3.001, -0.046, 
49, 24500, 10.352,  1.389,  0.163, 
49, 24500, 13.865,  5.683,  0.838, 
49, 24500, 15.197, 11.983,  1.331, 
49, 24500, 26.078,  0.810,  1.482, 
49, 24500, 11.879,  0.359,  0.283, 
49, 24500, 37.530, -8.964, -0.603, 

50, 25000,  6.933, -2.986, -0.132, 
50, 25000, 12.307,  0.677,  0.224, 
50, 25000, 10.197,  1.501,  0.106, 
50, 25000, 26.025,  0.919,  1.649, 
50, 25000, 37.579, -8.780,  0.406, 
50, 25000, 14.815, -5.911,  0.381, 

51, 25500,  7.528, -3.079,  0.031, 
51, 25500, 12.904,  0.863,  0.232, 
51, 25500, 10.302,  1.378,  0.296, 
51, 25500, 37.578, -8.873, -0.062, 
51, 25500,  7.529, -3.088, -0.235, 
51, 25500, 14.258, -7.367,  0.120, 

52, 26000,  7.996, -3.196, -0.093, 
52, 26000, 13.505,  0.952,  0.364, 
52, 26000, 10.699,  1.200,  0.162, 
52, 26000, 37.800, -8.351,  0.395, 
52, 26000, 23.589, -7.684, -0.334, 
52, 26000,  7.633, -3.106,  0.098, 
52, 26000, 10.334,  1.394,  0.132, 
52, 26000, 10.715,  1.155, -0.186, 

53, 26500,  8.022, -3.184, -0.139, 
53, 26500, 10.546,  1.278,  0.112, 
53, 26500,  9.158, -8.480,  0.214, 

54, 27000,  8.239, -3.556, -0.157, 
54, 27000, 10.856,  1.145,  0.106, 
54, 27000,  8.934, -8.500, -0.015, 
54, 27000, 14.828, -6.015,  0.098, 
54, 27000, 10.558,  1.227,  0.104, 
54, 27000, 10.370,  1.449,  0.135, 
54, 27000, 11.136,  1.106, -0.213, 
54, 27000, 14.616,  1.468,  0.385, 

55, 27500, 11.175,  1.002,  0.135, 
55, 27500, 10.358, -9.128, -0.016, 
55, 27500, 10.907,  1.102, -0.005, 
55, 27500, 11.084,  0.970, -0.143, 
55, 27500, 15.215,  1.563,  0.330, 
55, 27500, 10.674,  1.255,  0.125, 
55, 27500,  8.588, -8.450,  0.098, 
55, 27500, 13.817, -7.746, -0.016, 
55, 27500, 26.423, -0.781,  1.033, 

56, 28000, 11.379,  0.924,  0.094, 
56, 28000, 11.095,  1.043,  0.095, 
56, 28000, 10.848,  1.024,  0.028, 
56, 28000,  9.019, -8.577, -0.015, 
56, 28000, 11.176,  1.051, -0.131, 
56, 28000, 24.862, 13.780,  0.832, 

57, 28500, 11.471,  0.860,  0.181, 
57, 28500, 16.958,  1.876,  0.607, 
57, 28500, 23.089, -8.799, -0.553, 
57, 28500, 36.572, -12.085, -0.056, 
57, 28500, 23.212, -8.652,  0.598, 
57, 28500, 23.570,  3.387,  1.048, 

58, 29000, 37.060, -11.143,  0.360, 
58, 29000, 23.393,  4.064,  1.021, 

59, 29500, 37.340, -10.362, -0.054, 
59, 29500, 23.263,  4.182,  1.123, 
59, 29500, 11.441,  0.946,  0.147, 
59, 29500, 16.985,  3.010,  0.499, 
59, 29500, 23.183, -8.807, -0.262, 
59, 29500, 28.241, -2.650,  1.164, 
