count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
367, 183500, -75.375, 72.907, -0.345, 

368, 184000, -81.031, 77.435,  0.485, 
368, 184000, -75.138, 83.369,  0.089, 
368, 184000, -85.990, 70.564,  0.988, 
368, 184000, -82.172, 91.756,  1.056, 
368, 184000, -79.668, 71.889,  0.609, 
368, 184000, -92.732, 83.116,  0.771, 
368, 184000, -82.545, 66.923,  0.646, 

369, 184500, -81.542, 78.172,  0.371, 
369, 184500, -86.114, 70.761,  0.515, 
369, 184500, -81.724, 91.851,  0.858, 
369, 184500, -79.696, 71.921,  0.274, 
369, 184500, -88.376, 83.263,  0.770, 
369, 184500, -82.824, 67.106, -0.025, 

370, 185000, -82.312, 78.751,  0.302, 
370, 185000, -86.100, 70.757,  0.762, 
370, 185000, -71.981, 87.205, -0.022, 
370, 185000, -85.294, 75.389,  0.635, 
370, 185000, -75.056, 83.369,  0.083, 
370, 185000, -82.698, 67.028,  0.344, 

371, 185500, -82.909, 78.979,  0.308, 
371, 185500, -86.132, 70.695,  0.157, 
371, 185500, -75.112, 83.380, -0.012, 

372, 186000, -83.604, 79.149,  0.407, 
372, 186000, -86.234, 70.904,  0.154, 
372, 186000, -85.273, 75.612,  0.819, 
372, 186000, -75.793, 94.038,  1.446, 
372, 186000, -74.888, 83.322,  0.078, 

373, 186500, -84.146, 78.975,  0.104, 
373, 186500, -86.171, 70.886,  0.602, 
373, 186500, -85.267, 75.714,  0.764, 
373, 186500, -74.932, 83.326,  0.077, 
373, 186500, -92.505, 83.529,  0.887, 
373, 186500, -83.630, 77.400,  0.559, 
373, 186500, -78.068, 87.996,  0.425, 
373, 186500, -71.754, 87.126,  0.139, 

374, 187000, -86.236, 70.921,  0.467, 
374, 187000, -85.279, 75.742,  0.732, 
374, 187000, -83.680, 77.424,  0.502, 
374, 187000, -74.963, 83.331,  0.076, 
374, 187000, -74.839, 87.049,  0.586, 
374, 187000, -88.297, 83.399,  0.160, 

375, 187500, -86.292, 71.033,  0.591, 
375, 187500, -85.317, 75.674,  0.624, 
375, 187500, -83.587, 77.405, -0.112, 
375, 187500, -74.992, 83.355,  0.076, 

376, 188000, -86.213, 70.941,  0.306, 
376, 188000, -85.304, 75.730,  0.677, 
376, 188000, -74.949, 83.323,  0.237, 
376, 188000, -85.916, 78.601,  0.224, 
376, 188000, -84.173, 91.989,  0.417, 

377, 188500, -86.238, 71.042,  0.556, 
377, 188500, -85.276, 75.635,  0.647, 
377, 188500, -87.776, 64.722,  0.464, 

378, 189000, -86.270, 71.093,  0.650, 
378, 189000, -85.313, 75.668,  0.623, 
378, 189000, -87.111, 78.952,  0.649, 
378, 189000, -92.140, 84.168,  0.890, 
378, 189000, -77.626, 87.944,  0.261, 

379, 189500, -86.326, 71.075,  0.423, 
379, 189500, -85.324, 75.645,  0.595, 
379, 189500, -87.650, 78.550,  0.234, 
379, 189500, -92.323, 83.864,  0.876, 
379, 189500, -77.879, 87.991,  0.259, 
379, 189500, -83.639, 77.365,  0.225, 
379, 189500, -84.071, 91.981,  0.872, 
379, 189500, -83.668, 77.386, -0.165, 

380, 190000, -86.359, 71.116,  0.894, 
380, 190000, -83.364, 77.125,  0.237, 
380, 190000, -83.777, 92.065,  0.379, 
380, 190000, -83.438, 77.170, -0.228, 
380, 190000, -88.061, 83.653,  0.378, 
380, 190000, -88.414, 78.922,  0.669, 
380, 190000, -87.713, 64.759,  0.649, 
380, 190000, -81.255, 91.968,  0.675, 
380, 190000, -77.837, 88.004,  0.120, 

381, 190500, -86.569, 71.277,  0.409, 
381, 190500, -88.035, 83.728,  0.254, 
381, 190500, -88.870, 78.918,  0.242, 
381, 190500, -87.947, 65.206,  1.222, 
381, 190500, -83.330, 77.126,  0.230, 
381, 190500, -88.863, 87.715,  0.631, 
381, 190500, -95.169, 75.934,  1.307, 

382, 191000, -86.626, 71.376,  0.508, 
382, 191000, -89.465, 79.037,  0.245, 
382, 191000, -83.453, 77.021,  0.254, 
382, 191000, -83.360, 76.884, -0.198, 
382, 191000, -88.763, 87.725,  0.467, 
382, 191000, -92.155, 84.282,  0.645, 

383, 191500, -83.282, 76.957, -0.178, 
383, 191500, -83.614, 77.146,  0.232, 
383, 191500, -91.984, 84.325,  0.473, 
383, 191500, -83.129, 92.144,  1.110, 
383, 191500, -85.437, 75.905,  0.150, 
