count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
53, 26500,  5.894,  4.143, -0.176, 
53, 26500,  6.996, -0.746,  0.165, 
53, 26500, 10.383,  4.060,  0.095, 

54, 27000,  3.620, -6.434,  0.170, 
54, 27000,  7.258, -0.908, -0.007, 
54, 27000,  8.330, -0.241,  0.278, 
54, 27000, 11.093, -7.744,  0.389, 
54, 27000,  8.221,  0.062,  0.252, 
54, 27000,  7.350, -10.431,  0.900, 
54, 27000,  6.093,  4.072, -0.270, 
54, 27000,  8.225,  0.130, -0.070, 
54, 27000,  8.374,  4.086,  0.075, 
54, 27000,  7.243, -0.929, -0.437, 

55, 27500,  3.680, -6.473,  0.079, 
55, 27500,  7.699, -1.276,  0.078, 
55, 27500,  8.456, -0.002,  0.045, 
55, 27500, 11.085, -7.561,  0.372, 
55, 27500,  6.307,  4.009, -0.175, 
55, 27500,  8.417,  4.036,  0.073, 
55, 27500,  7.703, -1.367, -0.410, 
55, 27500,  9.437, -8.545,  0.791, 
55, 27500,  7.404, -10.418,  0.876, 
55, 27500,  5.291, -12.459,  0.832, 
55, 27500, 13.532,  8.067,  0.923, 
55, 27500,  3.595, -6.438,  0.530, 

56, 28000,  3.653, -6.481,  0.080, 
56, 28000,  8.101, -1.312,  0.118, 
56, 28000,  8.657, -0.098, -0.009, 
56, 28000, 11.123, -7.572,  0.468, 
56, 28000,  6.300,  4.061, -0.010, 
56, 28000,  9.522, -8.663,  0.472, 
56, 28000,  7.381, -10.597,  0.879, 
56, 28000,  5.395, -12.444,  0.908, 
56, 28000,  8.800, -0.422,  0.247, 
56, 28000,  4.410, -12.374,  1.025, 

57, 28500,  3.771, -6.527, -0.012, 
57, 28500,  8.589, -1.578,  0.122, 
57, 28500,  8.998, -0.355,  0.043, 
57, 28500, 11.082, -7.642,  0.447, 
57, 28500,  6.540,  4.091, -0.093, 
57, 28500,  9.740, -8.654,  0.456, 
57, 28500,  7.007, -11.441,  0.947, 
57, 28500,  5.494, -12.350,  0.895, 
57, 28500, 11.757, -1.489,  0.252, 
57, 28500,  8.491,  4.021, -0.011, 

58, 29000,  8.978, -1.671,  0.043, 
58, 29000,  9.272, -0.313, -0.009, 
58, 29000, 11.037, -7.589,  0.588, 
58, 29000,  9.568, -8.604,  0.533, 
58, 29000, 12.061, -1.785,  0.082, 
58, 29000,  8.495,  4.030,  0.070, 
58, 29000, 10.602,  3.862, -0.128, 

59, 29500,  9.289, -1.861,  0.089, 
59, 29500,  9.627, -0.447,  0.089, 
59, 29500, 11.059, -7.611,  0.428, 
59, 29500,  9.629, -8.607,  0.514, 
59, 29500, 12.483, -1.704,  0.173, 
59, 29500,  8.529,  4.000, -0.200, 
59, 29500, 26.626, 15.135,  2.238, 

60, 30000,  9.983, -0.612,  0.043, 
